Store Name,URL,Genre/Area,Rating,Review Count,Avg Price (JPY),Recommendation Score
餃子のかっちゃん 金沢片町店,https://tabelog.com/ishikawa/A1701/A170101/17014778/," 金沢市 / 居酒屋、餃子、揚げ物
            ",3.02,10.0,2499.0,85
博多もつ鍋 馬肉 九州自慢 金沢駅前店,https://tabelog.com/ishikawa/A1701/A170101/17010848/," 金沢市 / 居酒屋、もつ鍋、餃子
            ",3.08,23.0,3499.0,97
大衆酒場 酔いどれ 金沢駅前店,https://tabelog.com/ishikawa/A1701/A170101/17014241/," 金沢市 / 居酒屋、海鮮、餃子
            ",3.08,27.0,2499.0,87
和風中華 招龍亭,https://tabelog.com/ishikawa/A1701/A170101/17001026/," 金沢市 / 中華料理、餃子
            ",3.26,36.0,4749.0,113
赤門,https://tabelog.com/ishikawa/A1702/A170202/17003103/," 小松市 / 中華料理、居酒屋、餃子
            ",3.35,52.0,3499.0,102
ラーメン山岡家 小松店,https://tabelog.com/ishikawa/A1702/A170202/17013241/," 小松市 / ラーメン、つけ麺、餃子
            ",3.02,29.0,1499.0,75
丸源ラーメン 金沢横川店,https://tabelog.com/ishikawa/A1701/A170101/17007809/," 金沢市 / ラーメン、つけ麺、餃子
            ",3.04,69.0,2000.0,81
８番らーめん 鶴来店,https://tabelog.com/ishikawa/A1702/A170203/17005661/," 白山市 / ラーメン、餃子
            ",3.02,17.0,2000.0,80
餃子の王将 イオン金沢示野店,https://tabelog.com/ishikawa/A1701/A170101/17005741/," 金沢市 / 餃子、中華料理
            ",3.05,36.0,2000.0,81
宝龍,https://tabelog.com/ishikawa/A1702/A170202/17009006/," 小松市 / 中華料理、ラーメン、餃子
            ",3.06,10.0,2000.0,81
尚軒,https://tabelog.com/ishikawa/A1702/A170202/17001608/," 小松市 / 中華料理、餃子、ラーメン
            ",3.22,35.0,1499.0,79
李家楼,https://tabelog.com/ishikawa/A1701/A170101/17008924/," 金沢市 / 中華料理、餃子、ラーメン
            ",3.08,29.0,1499.0,77
餃子の王将 小松店,https://tabelog.com/ishikawa/A1702/A170202/17006759/," 小松市 / 餃子、中華料理
            ",3.03,24.0,2000.0,81
和香居,https://tabelog.com/ishikawa/A1701/A170101/17006789/," 金沢市 / 台湾料理、餃子、ラーメン
            ",3.25,43.0,1499.0,80
